2020-01-21 11:31:24,902 - wiirunner - INFO - Source is Camera
2020-01-21 11:31:24,903 - wiirunner - INFO - {'row_low': 0, 'row_high': 719, 'column_low': 0, 'column_high': 1279}
2020-01-21 11:31:24,940 - wiirunner - INFO - ('frame: ', -1)
2020-01-21 11:31:26,536 - wiirunner - INFO - ('cycle, time, frame, direction:', 1, 10, 340, <State.eLeft: (1,)>, True, False)
2020-01-21 11:31:58,125 - wiirunner - INFO - ('cycle, time, frame, direction:', 53, 1, 214, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:58,345 - wiirunner - INFO - ('cycle, time, frame, direction:', 54, 2, 216, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:58,673 - wiirunner - INFO - ('cycle, time, frame, direction:', 55, 4, 219, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:59,167 - wiirunner - INFO - ('cycle, time, frame, direction:', 56, 7, 221, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:00,535 - wiirunner - INFO - ('cycle, time, frame, direction:', 57, 23, 224, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:02,667 - wiirunner - INFO - ('cycle, time, frame, direction:', 58, 37, 226, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:03,536 - wiirunner - INFO - ('cycle, time, frame, direction:', 59, 14, 228, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:03,938 - wiirunner - INFO - ('cycle, time, frame, direction:', 60, 6, 224, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:04,446 - wiirunner - INFO - ('cycle, time, frame, direction:', 61, 7, 221, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:06,770 - wiirunner - INFO - ('cycle, time, frame, direction:', 62, 35, 223, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:16,411 - wiirunner - INFO - ('cycle, time, frame, direction:', 63, 269, 225, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:17,348 - wiirunner - INFO - ('cycle, time, frame, direction:', 64, 21, 227, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:21,055 - wiirunner - INFO - ('cycle, time, frame, direction:', 65, 58, 228, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:26,890 - wiirunner - INFO - ('cycle, time, frame, direction:', 66, 93, 230, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:27,861 - wiirunner - INFO - ('cycle, time, frame, direction:', 67, 27, 232, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:30,038 - wiirunner - INFO - ('cycle, time, frame, direction:', 68, 34, 234, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:31,668 - wiirunner - INFO - ('cycle, time, frame, direction:', 69, 33, 235, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:32,528 - wiirunner - INFO - ('cycle, time, frame, direction:', 70, 22, 237, <State.eRight: (-1,)>, False, False)
